;Framleiðandi;Gerð;Undirgerð;Verð;Vél;Hö;l/100 km;KM á rafmagni;Gírskipting;Drif;Sæti;
Giulia;;;;;;;;;;;;
;Alfa Romeo;Giulia;Super;7.160.000;I4 2,0 l turbo bensín;200;7,1;;8 gíra sjálfskipting;RWD;5;1
;Alfa Romeo;Giulia;Veloce;9.130.000;I4 2,2 l turbo dísil;210;4,7;;8 gíra sjálfskipting;AWD;5;2
Stelvio;;;;;;;;;;;;
;Alfa Romeo;Stelvio;Super;9.370.000;I4 2,0 l turbo bensín;200;8,1;;8 gíra sjálfskipting;AWD;5;4
Giulietta;;;;;;;;;;;;
;Alfa Romeo;Giulietta;Veloce;4.990.000;I4 1,4 l turbo bensín;120;7,4;;6 gíra beinskipting;FWD;5;3
A3 e-tron sportback;;;;;;;;;;;;
;Audi;A3 e-tron sportback;1,4 TFSI e-tron;5.190.000;I4 1,4 l turbo bensín + 9 kWh rafhlaða, rafmótor;204;1,6;45;6 gíra DCT sjálfskipting;FWD;5;
;Audi;A3 e-tron sportback;1,4 TFSI e-tron Sport;5.790.000;I4 1,4 l turbo bensín + 9 kWh rafhlaða, rafmótor;204;1,6;45;6 gíra DCT sjálfskipting;FWD;5;
A1 sportback;;;;;;;;;;;;
;Audi;A1 sportback;25 TFSI;4.190.000;I3 1,0 l turbo bensín;95;4,7;;5 gíra beinskipting;FWD;5;5
;Audi;A1 sportback;30 TFSI;4.890.000;I3 1,0 l turbo bensín;116;4,8;;7 gíra DCT sjálfskipting;FWD;5;6
;Audi;A1 sportback;35 TFSI;5.390.000;I4 1,5 l turbo bensín;150;5,1;;7 gíra DCT sjálfskipting;FWD;5;7
Q2;;;;;;;;;;;;
;Audi;Q2;30 TDI Design;6.790.000;I4 1,6 l turbo dísil;116;4,5;;7 gíra DCT sjálfskipting;FWD;5;34
;Audi;Q2;30 TDI Sport;6.190.000;I4 1,6 l turbo dísil;116;4,5;;7 gíra DCT sjálfskipting;FWD;5;33
;Audi;Q2;30 TDI Technik;5.690.000;I4 1,6 l turbo dísil;116;4,5;;7 gíra DCT sjálfskipting;FWD;5;32
;Audi;Q2;30 TFSI Design;6.090.000;I3 1,0 l turbo bensín;116;5,1;;6 gíra beinskipting;FWD;5;31
;Audi;Q2;30 TFSI Sport;5.490.000;I3 1,0 l turbo bensín;116;5,1;;6 gíra beinskipting;FWD;5;30
;Audi;Q2;30 TFSI Technik;4.990.000;I3 1,0 l turbo bensín;116;5,1;;6 gíra beinskipting;FWD;5;29
;Audi;Q2;35 TDI Design;7.090.000;I4 2,0 l turbo dísil;150;4,4;;7 gíra DCT sjálfskipting;AWD;5;37
;Audi;Q2;35 TDI Quattro Design;7.840.000;I4 2,0 l turbo dísil;150;5,1;;7 gíra DCT sjálfskipting;AWD;5;40
;Audi;Q2;35 TDI Quattro Sport;7.190.000;I4 2,0 l turbo dísil;150;5,1;;7 gíra DCT sjálfskipting;AWD;5;39
;Audi;Q2;35 TDI Quattro Technik;6.690.000;I4 2,0 l turbo dísil;150;5,1;;7 gíra DCT sjálfskipting;AWD;5;38
;Audi;Q2;35 TDI Sport;6.490.000;I4 2,0 l turbo dísil;150;4,4;;7 gíra DCT sjálfskipting;FWD;5;36
;Audi;Q2;35 TDI Technik;5.990.000;I4 2,0 l turbo dísil;150;4,4;;7 gíra DCT sjálfskipting;FWD;5;35
;Audi;Q2;40 TFSI Quattro Design;8.190.000;I4 2,0 l turbo bensín;190;6,4;;7 gíra DCT sjálfskipting;AWD;5;43
;Audi;Q2;40 TFSI Quattro Sport;7.490.000;I4 2,0 l turbo bensín;190;6,4;;7 gíra DCT sjálfskipting;AWD;5;42
;Audi;Q2;40 TFSI Quattro Technik;6.990.000;I4 2,0 l turbo bensín;190;6,4;;7 gíra DCT sjálfskipting;AWD;5;41
A4 limousine;;;;;;;;;;;;
;Audi;A4 limousine;35 TDI;6.550.000;I4 2,0 l turbo dísil;163;3,8;;7 gíra DCT sjálfskipting;FWD;5;12
